address1,address2,business_name,country_code,id,job_roles,job_summary,job_type,pay_period,pay_structure,postal_code,posted_datetime,qualifications,remote_type,responsibilities,salary_from,salary_to,tags,title,_geo,city,region
,,Republican Jobs,US,6210,"['Marketing', 'Nonprofit-Social Services', 'Other']","Republican Jobs is currently accepting applications for individuals to help with various local, state, and federal races for Republican candidates ahead of the 2023-2024 cycle. Campaign experience is preferred but not required. Get-Out-The-Vote efforts will be taking place in various states, and those who are interested can apply to work on a campaign directly or be flown out to help on a campaign deployment. This is a great opportunity for anyone who wants to get involved in the political process and make a difference. This is also great for recent political science majors who want to get their first step into politics during the 2023-2024 election cycle.CAMPAIGN DEPLOYMENTS INCLUDE HOUSING AND TRAVEL.Experience going door-to-door is preferred but not required.Applicants must be willing to go door-to-door to identified and targetted Republican Voters.Job Types: Contract, TemporarySalary: $3,000.00 - $4,000.00 per monthSchedule:Monday to FridayWeekend availability","['Full-time', 'Seasonal']",annual,salary,,1669958533,nan,Location-based,nan,42000.0,42000.0,[],Republican Field Organizers - Accepting Applications for the 2023-24 Cycle,,,UT
,,Republican Jobs,US,6213,"['Marketing', 'Nonprofit-Social Services', 'Other']","Republican Jobs is currently accepting applications for individuals to help with various local, state, and federal races for Republican candidates ahead of the 2023-2024 cycle. Campaign experience is preferred but not required. Get-Out-The-Vote efforts will be taking place in various states, and those who are interested can apply to work on a campaign directly or be flown out to help on a campaign deployment. This is a great opportunity for anyone who wants to get involved in the political process and make a difference. This is also great for recent political science majors who want to get their first step into politics during the 2023-2024 election cycle.CAMPAIGN DEPLOYMENTS INCLUDE HOUSING AND TRAVEL.Experience going door-to-door is preferred but not required.Applicants must be willing to go door-to-door to identified and targetted Republican Voters.Job Types: Contract, TemporarySalary: $3,000.00 - $4,000.00 per monthSchedule:Monday to FridayWeekend availability","['Full-time', 'Seasonal']",annual,salary,,1669958469,nan,Location-based,nan,42000.0,42000.0,[],Republican Field Organizers - Accepting Applications for the 2023-24 Cycle,,,TN
,,Republican Jobs,US,6219,"['Marketing', 'Nonprofit-Social Services', 'Other']","Republican Jobs is currently accepting applications for individuals to help with various local, state, and federal races for Republican candidates ahead of the 2023-2024 cycle. Campaign experience is preferred but not required. Get-Out-The-Vote efforts will be taking place in various states, and those who are interested can apply to work on a campaign directly or be flown out to help on a campaign deployment. This is a great opportunity for anyone who wants to get involved in the political process and make a difference. This is also great for recent political science majors who want to get their first step into politics during the 2023-2024 election cycle.CAMPAIGN DEPLOYMENTS INCLUDE HOUSING AND TRAVEL.Experience going door-to-door is preferred but not required.Applicants must be willing to go door-to-door to identified and targetted Republican Voters.Job Types: Contract, TemporarySalary: $3,000.00 - $4,000.00 per monthSchedule:Monday to FridayWeekend availability","['Full-time', 'Seasonal']",annual,salary,,1669958450,nan,Location-based,nan,42000.0,42000.0,[],Republican Field Organizers - Accepting Applications for the 2023-24 Cycle,,,SD
,,Republican Jobs,US,6223,"['Marketing', 'Nonprofit-Social Services', 'Other']","Republican Jobs is currently accepting applications for individuals to help with various local, state, and federal races for Republican candidates ahead of the 2023-2024 cycle. Campaign experience is preferred but not required. Get-Out-The-Vote efforts will be taking place in various states, and those who are interested can apply to work on a campaign directly or be flown out to help on a campaign deployment. This is a great opportunity for anyone who wants to get involved in the political process and make a difference. This is also great for recent political science majors who want to get their first step into politics during the 2023-2024 election cycle.CAMPAIGN DEPLOYMENTS INCLUDE HOUSING AND TRAVEL.Experience going door-to-door is preferred but not required.Applicants must be willing to go door-to-door to identified and targetted Republican Voters.Job Types: Contract, TemporarySalary: $3,000.00 - $4,000.00 per monthSchedule:Monday to FridayWeekend availability","['Full-time', 'Seasonal']",annual,salary,,1669958432,nan,Location-based,nan,42000.0,42000.0,[],Republican Field Organizers - Accepting Applications for the 2023-24 Cycle,,,SC
,,Republican Jobs,US,6226,"['Marketing', 'Nonprofit-Social Services', 'Other']","Republican Jobs is currently accepting applications for individuals to help with various local, state, and federal races for Republican candidates ahead of the 2023-2024 cycle. Campaign experience is preferred but not required. Get-Out-The-Vote efforts will be taking place in various states, and those who are interested can apply to work on a campaign directly or be flown out to help on a campaign deployment. This is a great opportunity for anyone who wants to get involved in the political process and make a difference. This is also great for recent political science majors who want to get their first step into politics during the 2023-2024 election cycle.CAMPAIGN DEPLOYMENTS INCLUDE HOUSING AND TRAVEL.Experience going door-to-door is preferred but not required.Applicants must be willing to go door-to-door to identified and targetted Republican Voters.Job Types: Contract, TemporarySalary: $3,000.00 - $4,000.00 per monthSchedule:Monday to FridayWeekend availability","['Full-time', 'Seasonal']",annual,salary,,1669958264,nan,Location-based,nan,42000.0,42000.0,[],Republican Field Organizers - Accepting Applications for the 2023-24 Cycle,,,RI
,,Republican Jobs,US,6228,"['Marketing', 'Nonprofit-Social Services', 'Other']","Republican Jobs is currently accepting applications for individuals to help with various local, state, and federal races for Republican candidates ahead of the 2023-2024 cycle. Campaign experience is preferred but not required. Get-Out-The-Vote efforts will be taking place in various states, and those who are interested can apply to work on a campaign directly or be flown out to help on a campaign deployment. This is a great opportunity for anyone who wants to get involved in the political process and make a difference. This is also great for recent political science majors who want to get their first step into politics during the 2023-2024 election cycle.CAMPAIGN DEPLOYMENTS INCLUDE HOUSING AND TRAVEL.Experience going door-to-door is preferred but not required.Applicants must be willing to go door-to-door to identified and targetted Republican Voters.Job Types: Contract, TemporarySalary: $3,000.00 - $4,000.00 per monthSchedule:Monday to FridayWeekend availability","['Full-time', 'Seasonal']",annual,salary,,1669958242,nan,Location-based,nan,42000.0,42000.0,[],Republican Field Organizers - Accepting Applications for the 2023-24 Cycle,,,PA
,,Republican Jobs,US,6233,"['Marketing', 'Nonprofit-Social Services', 'Other']","Republican Jobs is currently accepting applications for individuals to help with various local, state, and federal races for Republican candidates ahead of the 2023-2024 cycle. Campaign experience is preferred but not required. Get-Out-The-Vote efforts will be taking place in various states, and those who are interested can apply to work on a campaign directly or be flown out to help on a campaign deployment. This is a great opportunity for anyone who wants to get involved in the political process and make a difference. This is also great for recent political science majors who want to get their first step into politics during the 2023-2024 election cycle.CAMPAIGN DEPLOYMENTS INCLUDE HOUSING AND TRAVEL.Experience going door-to-door is preferred but not required.Applicants must be willing to go door-to-door to identified and targetted Republican Voters.Job Types: Contract, TemporarySalary: $3,000.00 - $4,000.00 per monthSchedule:Monday to FridayWeekend availability","['Full-time', 'Seasonal']",annual,salary,,1669958225,nan,Location-based,nan,42000.0,42000.0,[],Republican Field Organizers - Accepting Applications for the 2023-24 Cycle,,,OR
,,Republican Jobs,US,6235,"['Marketing', 'Nonprofit-Social Services', 'Other']","Republican Jobs is currently accepting applications for individuals to help with various local, state, and federal races for Republican candidates ahead of the 2023-2024 cycle. Campaign experience is preferred but not required. Get-Out-The-Vote efforts will be taking place in various states, and those who are interested can apply to work on a campaign directly or be flown out to help on a campaign deployment. This is a great opportunity for anyone who wants to get involved in the political process and make a difference. This is also great for recent political science majors who want to get their first step into politics during the 2023-2024 election cycle.CAMPAIGN DEPLOYMENTS INCLUDE HOUSING AND TRAVEL.Experience going door-to-door is preferred but not required.Applicants must be willing to go door-to-door to identified and targetted Republican Voters.Job Types: Contract, TemporarySalary: $3,000.00 - $4,000.00 per monthSchedule:Monday to FridayWeekend availability","['Full-time', 'Seasonal']",annual,salary,,1669958043,nan,Location-based,nan,42000.0,42000.0,[],Republican Field Organizers - Accepting Applications for the 2023-24 Cycle,,,OK
,,Republican Jobs,US,6238,"['Marketing', 'Nonprofit-Social Services', 'Other']","Republican Jobs is currently accepting applications for individuals to help with various local, state, and federal races for Republican candidates ahead of the 2023-2024 cycle. Campaign experience is preferred but not required. Get-Out-The-Vote efforts will be taking place in various states, and those who are interested can apply to work on a campaign directly or be flown out to help on a campaign deployment. This is a great opportunity for anyone who wants to get involved in the political process and make a difference. This is also great for recent political science majors who want to get their first step into politics during the 2023-2024 election cycle.CAMPAIGN DEPLOYMENTS INCLUDE HOUSING AND TRAVEL.Experience going door-to-door is preferred but not required.Applicants must be willing to go door-to-door to identified and targetted Republican Voters.Job Types: Contract, TemporarySalary: $3,000.00 - $4,000.00 per monthSchedule:Monday to FridayWeekend availability","['Full-time', 'Seasonal']",annual,salary,,1669958024,nan,Location-based,nan,42000.0,42000.0,[],Republican Field Organizers - Accepting Applications for the 2023-24 Cycle,,,OH
,,Republican Jobs,US,6241,"['Marketing', 'Nonprofit-Social Services', 'Other']","Republican Jobs is currently accepting applications for individuals to help with various local, state, and federal races for Republican candidates ahead of the 2023-2024 cycle. Campaign experience is preferred but not required. Get-Out-The-Vote efforts will be taking place in various states, and those who are interested can apply to work on a campaign directly or be flown out to help on a campaign deployment. This is a great opportunity for anyone who wants to get involved in the political process and make a difference. This is also great for recent political science majors who want to get their first step into politics during the 2023-2024 election cycle.CAMPAIGN DEPLOYMENTS INCLUDE HOUSING AND TRAVEL.Experience going door-to-door is preferred but not required.Applicants must be willing to go door-to-door to identified and targetted Republican Voters.Job Types: Contract, TemporarySalary: $3,000.00 - $4,000.00 per monthSchedule:Monday to FridayWeekend availability","['Full-time', 'Seasonal']",annual,salary,,1669958007,nan,Location-based,nan,42000.0,42000.0,[],Republican Field Organizers - Accepting Applications for the 2023-24 Cycle,,,ND
,,Republican Jobs,US,6242,"['Marketing', 'Nonprofit-Social Services', 'Other']","Republican Jobs is currently accepting applications for individuals to help with various local, state, and federal races for Republican candidates ahead of the 2023-2024 cycle. Campaign experience is preferred but not required. Get-Out-The-Vote efforts will be taking place in various states, and those who are interested can apply to work on a campaign directly or be flown out to help on a campaign deployment. This is a great opportunity for anyone who wants to get involved in the political process and make a difference. This is also great for recent political science majors who want to get their first step into politics during the 2023-2024 election cycle.CAMPAIGN DEPLOYMENTS INCLUDE HOUSING AND TRAVEL.Experience going door-to-door is preferred but not required.Applicants must be willing to go door-to-door to identified and targetted Republican Voters.Job Types: Contract, TemporarySalary: $3,000.00 - $4,000.00 per monthSchedule:Monday to FridayWeekend availability","['Full-time', 'Seasonal']",annual,salary,,1669957955,nan,Location-based,nan,42000.0,42000.0,[],Republican Field Organizers - Accepting Applications for the 2023-24 Cycle,,,NC
,,Republican Jobs,US,6245,"['Marketing', 'Nonprofit-Social Services', 'Other']","Republican Jobs is currently accepting applications for individuals to help with various local, state, and federal races for Republican candidates ahead of the 2023-2024 cycle. Campaign experience is preferred but not required. Get-Out-The-Vote efforts will be taking place in various states, and those who are interested can apply to work on a campaign directly or be flown out to help on a campaign deployment. This is a great opportunity for anyone who wants to get involved in the political process and make a difference. This is also great for recent political science majors who want to get their first step into politics during the 2023-2024 election cycle.CAMPAIGN DEPLOYMENTS INCLUDE HOUSING AND TRAVEL.Experience going door-to-door is preferred but not required.Applicants must be willing to go door-to-door to identified and targetted Republican Voters.Job Types: Contract, TemporarySalary: $3,000.00 - $4,000.00 per monthSchedule:Monday to FridayWeekend availability","['Full-time', 'Seasonal']",annual,salary,,1669957931,nan,Location-based,nan,42000.0,42000.0,[],Republican Field Organizers - Accepting Applications for the 2023-24 Cycle,,,NY
,,Republican Jobs,US,6248,"['Marketing', 'Nonprofit-Social Services', 'Other']","Republican Jobs is currently accepting applications for individuals to help with various local, state, and federal races for Republican candidates ahead of the 2023-2024 cycle. Campaign experience is preferred but not required. Get-Out-The-Vote efforts will be taking place in various states, and those who are interested can apply to work on a campaign directly or be flown out to help on a campaign deployment. This is a great opportunity for anyone who wants to get involved in the political process and make a difference. This is also great for recent political science majors who want to get their first step into politics during the 2023-2024 election cycle.CAMPAIGN DEPLOYMENTS INCLUDE HOUSING AND TRAVEL.Experience going door-to-door is preferred but not required.Applicants must be willing to go door-to-door to identified and targetted Republican Voters.Job Types: Contract, TemporarySalary: $3,000.00 - $4,000.00 per monthSchedule:Monday to FridayWeekend availability","['Full-time', 'Seasonal']",annual,salary,,1669957902,nan,Location-based,nan,42000.0,42000.0,[],Republican Field Organizers - Accepting Applications for the 2023-24 Cycle,,,NM
,,Republican Jobs,US,6250,"['Marketing', 'Nonprofit-Social Services', 'Other']","Republican Jobs is currently accepting applications for individuals to help with various local, state, and federal races for Republican candidates ahead of the 2023-2024 cycle. Campaign experience is preferred but not required. Get-Out-The-Vote efforts will be taking place in various states, and those who are interested can apply to work on a campaign directly or be flown out to help on a campaign deployment. This is a great opportunity for anyone who wants to get involved in the political process and make a difference. This is also great for recent political science majors who want to get their first step into politics during the 2023-2024 election cycle.CAMPAIGN DEPLOYMENTS INCLUDE HOUSING AND TRAVEL.Experience going door-to-door is preferred but not required.Applicants must be willing to go door-to-door to identified and targetted Republican Voters.Job Types: Contract, TemporarySalary: $3,000.00 - $4,000.00 per monthSchedule:Monday to FridayWeekend availability","['Full-time', 'Seasonal']",annual,salary,,1669957880,nan,Location-based,nan,42000.0,42000.0,[],Republican Field Organizers - Accepting Applications for the 2023-24 Cycle,,,NJ
,,Republican Jobs,US,6254,"['Marketing', 'Nonprofit-Social Services', 'Other']","Republican Jobs is currently accepting applications for individuals to help with various local, state, and federal races for Republican candidates ahead of the 2023-2024 cycle. Campaign experience is preferred but not required. Get-Out-The-Vote efforts will be taking place in various states, and those who are interested can apply to work on a campaign directly or be flown out to help on a campaign deployment. This is a great opportunity for anyone who wants to get involved in the political process and make a difference. This is also great for recent political science majors who want to get their first step into politics during the 2023-2024 election cycle.CAMPAIGN DEPLOYMENTS INCLUDE HOUSING AND TRAVEL.Experience going door-to-door is preferred but not required.Applicants must be willing to go door-to-door to identified and targetted Republican Voters.Job Types: Contract, TemporarySalary: $3,000.00 - $4,000.00 per monthSchedule:Monday to FridayWeekend availability","['Full-time', 'Seasonal']",annual,salary,,1669957860,nan,Location-based,nan,42000.0,42000.0,[],Republican Field Organizers - Accepting Applications for the 2023-24 Cycle,,,NH
,,Republican Jobs,US,6257,"['Marketing', 'Nonprofit-Social Services', 'Other']","Republican Jobs is currently accepting applications for individuals to help with various local, state, and federal races for Republican candidates ahead of the 2023-2024 cycle. Campaign experience is preferred but not required. Get-Out-The-Vote efforts will be taking place in various states, and those who are interested can apply to work on a campaign directly or be flown out to help on a campaign deployment. This is a great opportunity for anyone who wants to get involved in the political process and make a difference. This is also great for recent political science majors who want to get their first step into politics during the 2023-2024 election cycle.CAMPAIGN DEPLOYMENTS INCLUDE HOUSING AND TRAVEL.Experience going door-to-door is preferred but not required.Applicants must be willing to go door-to-door to identified and targetted Republican Voters.Job Types: Contract, TemporarySalary: $3,000.00 - $4,000.00 per monthSchedule:Monday to FridayWeekend availability","['Full-time', 'Seasonal']",annual,salary,,1669957840,nan,Location-based,nan,42000.0,42000.0,[],Republican Field Organizers - Accepting Applications for the 2023-24 Cycle,,,NV
,,Republican Jobs,US,6259,"['Marketing', 'Nonprofit-Social Services', 'Other']","Republican Jobs is currently accepting applications for individuals to help with various local, state, and federal races for Republican candidates ahead of the 2023-2024 cycle. Campaign experience is preferred but not required. Get-Out-The-Vote efforts will be taking place in various states, and those who are interested can apply to work on a campaign directly or be flown out to help on a campaign deployment. This is a great opportunity for anyone who wants to get involved in the political process and make a difference. This is also great for recent political science majors who want to get their first step into politics during the 2023-2024 election cycle.CAMPAIGN DEPLOYMENTS INCLUDE HOUSING AND TRAVEL.Experience going door-to-door is preferred but not required.Applicants must be willing to go door-to-door to identified and targetted Republican Voters.Job Types: Contract, TemporarySalary: $3,000.00 - $4,000.00 per monthSchedule:Monday to FridayWeekend availability","['Full-time', 'Seasonal']",annual,salary,,1669957814,nan,Location-based,nan,42000.0,42000.0,[],Republican Field Organizers - Accepting Applications for the 2023-24 Cycle,,,NE
,,Republican Jobs,US,6261,"['Marketing', 'Nonprofit-Social Services', 'Other']","Republican Jobs is currently accepting applications for individuals to help with various local, state, and federal races for Republican candidates ahead of the 2023-2024 cycle. Campaign experience is preferred but not required. Get-Out-The-Vote efforts will be taking place in various states, and those who are interested can apply to work on a campaign directly or be flown out to help on a campaign deployment. This is a great opportunity for anyone who wants to get involved in the political process and make a difference. This is also great for recent political science majors who want to get their first step into politics during the 2023-2024 election cycle.CAMPAIGN DEPLOYMENTS INCLUDE HOUSING AND TRAVEL.Experience going door-to-door is preferred but not required.Applicants must be willing to go door-to-door to identified and targetted Republican Voters.Job Types: Contract, TemporarySalary: $3,000.00 - $4,000.00 per monthSchedule:Monday to FridayWeekend availability","['Full-time', 'Seasonal']",annual,salary,,1669957795,nan,Location-based,nan,42000.0,42000.0,[],Republican Field Organizers - Accepting Applications for the 2023-24 Cycle,,,MT
,,Republican Jobs,US,6265,"['Marketing', 'Nonprofit-Social Services', 'Other']","Republican Jobs is currently accepting applications for individuals to help with various local, state, and federal races for Republican candidates ahead of the 2023-2024 cycle. Campaign experience is preferred but not required. Get-Out-The-Vote efforts will be taking place in various states, and those who are interested can apply to work on a campaign directly or be flown out to help on a campaign deployment. This is a great opportunity for anyone who wants to get involved in the political process and make a difference. This is also great for recent political science majors who want to get their first step into politics during the 2023-2024 election cycle.CAMPAIGN DEPLOYMENTS INCLUDE HOUSING AND TRAVEL.Experience going door-to-door is preferred but not required.Applicants must be willing to go door-to-door to identified and targetted Republican Voters.Job Types: Contract, TemporarySalary: $3,000.00 - $4,000.00 per monthSchedule:Monday to FridayWeekend availability","['Full-time', 'Seasonal']",annual,salary,,1669957775,nan,Location-based,nan,42000.0,42000.0,[],Republican Field Organizers - Accepting Applications for the 2023-24 Cycle,,,MO
,,Republican Jobs,US,6269,"['Marketing', 'Nonprofit-Social Services', 'Other']","Republican Jobs is currently accepting applications for individuals to help with various local, state, and federal races for Republican candidates ahead of the 2023-2024 cycle. Campaign experience is preferred but not required. Get-Out-The-Vote efforts will be taking place in various states, and those who are interested can apply to work on a campaign directly or be flown out to help on a campaign deployment. This is a great opportunity for anyone who wants to get involved in the political process and make a difference. This is also great for recent political science majors who want to get their first step into politics during the 2023-2024 election cycle.CAMPAIGN DEPLOYMENTS INCLUDE HOUSING AND TRAVEL.Experience going door-to-door is preferred but not required.Applicants must be willing to go door-to-door to identified and targetted Republican Voters.Job Types: Contract, TemporarySalary: $3,000.00 - $4,000.00 per monthSchedule:Monday to FridayWeekend availability","['Full-time', 'Seasonal']",annual,salary,,1669957756,nan,Location-based,nan,42000.0,42000.0,[],Republican Field Organizers - Accepting Applications for the 2023-24 Cycle,,,MS
,,Republican Jobs,US,6276,"['Marketing', 'Nonprofit-Social Services', 'Other']","Republican Jobs is currently accepting applications for individuals to help with various local, state, and federal races for Republican candidates ahead of the 2023-2024 cycle. Campaign experience is preferred but not required. Get-Out-The-Vote efforts will be taking place in various states, and those who are interested can apply to work on a campaign directly or be flown out to help on a campaign deployment. This is a great opportunity for anyone who wants to get involved in the political process and make a difference. This is also great for recent political science majors who want to get their first step into politics during the 2023-2024 election cycle.CAMPAIGN DEPLOYMENTS INCLUDE HOUSING AND TRAVEL.Experience going door-to-door is preferred but not required.Applicants must be willing to go door-to-door to identified and targetted Republican Voters.Job Types: Contract, TemporarySalary: $3,000.00 - $4,000.00 per monthSchedule:Monday to FridayWeekend availability","['Full-time', 'Seasonal']",annual,salary,,1669957685,nan,Location-based,nan,42000.0,42000.0,[],Republican Field Organizers - Accepting Applications for the 2023-24 Cycle,,,MN
,,Republican Jobs,US,6279,"['Marketing', 'Nonprofit-Social Services', 'Other']","Republican Jobs is currently accepting applications for individuals to help with various local, state, and federal races for Republican candidates ahead of the 2023-2024 cycle. Campaign experience is preferred but not required. Get-Out-The-Vote efforts will be taking place in various states, and those who are interested can apply to work on a campaign directly or be flown out to help on a campaign deployment. This is a great opportunity for anyone who wants to get involved in the political process and make a difference. This is also great for recent political science majors who want to get their first step into politics during the 2023-2024 election cycle.CAMPAIGN DEPLOYMENTS INCLUDE HOUSING AND TRAVEL.Experience going door-to-door is preferred but not required.Applicants must be willing to go door-to-door to identified and targetted Republican Voters.Job Types: Contract, TemporarySalary: $3,000.00 - $4,000.00 per monthSchedule:Monday to FridayWeekend availability","['Full-time', 'Seasonal']",annual,salary,,1669957668,nan,Location-based,nan,42000.0,42000.0,[],Republican Field Organizers - Accepting Applications for the 2023-24 Cycle,,,MI
